algorithm,n_people,cohesion,iteration,score,time
annealingFromFluent,300,0,0,10305.55,5.402880430221558
annealingFromFluent,300,0,1,10925.82,5.4736082553863525
annealingFromFluent,300,0,2,10695.68,5.398158550262451
annealingFromFluent,300,0,3,10121.98,5.390840768814087
annealingFromFluent,300,0,4,10622.82,5.411501169204712
annealingFromFluent,300,0,5,10880.18,5.434117794036865
annealingFromFluent,300,0,6,10346.2,5.4862282276153564
annealingFromFluent,300,0,7,10528.19,5.4152491092681885
annealingFromFluent,300,0,8,10561.86,5.467197418212891
annealingFromFluent,300,0,9,10909.16,5.33755898475647
annealingFromFluent,300,0,10,10779.28,5.400946617126465
annealingFromFluent,300,0,11,10594.3,5.397583484649658
annealingFromFluent,300,0,12,10883.85,5.445170640945435
annealingFromFluent,300,0,13,10882.67,5.428219795227051
annealingFromFluent,300,0,14,10932.42,5.4455578327178955
annealingFromFluent,300,0,15,10584.32,5.574006795883179
annealingFromFluent,300,0,16,10416.08,5.479282855987549
annealingFromFluent,300,0,17,10666.56,5.43488883972168
annealingFromFluent,300,0,18,10505.16,5.473834753036499
annealingFromFluent,300,0,19,11028.89,5.413164854049683
annealingFromFluent,300,0,20,10402.86,5.470873117446899
annealingFromFluent,300,0,21,11142.21,5.344245910644531
annealingFromFluent,300,0,22,10822.67,5.4135777950286865
annealingFromFluent,300,0,23,10547.14,5.429455041885376
annealingFromFluent,300,0,24,10636.26,5.469416618347168
annealingFromFluent,300,0,25,10965.67,5.46831488609314
annealingFromFluent,300,0,26,10640.87,5.375519752502441
annealingFromFluent,300,0,27,10543.34,5.493499040603638
annealingFromFluent,300,0,28,10418.63,5.524960994720459
annealingFromFluent,300,0,29,10328.06,5.443172216415405
annealingFromFluent,300,0,30,10399.46,5.412226915359497
annealingFromFluent,300,0,31,11090.54,5.462357521057129
annealingFromFluent,300,0,32,10514.31,5.653465270996094
annealingFromFluent,300,0,33,11129.81,5.452694654464722
annealingFromFluent,300,0,34,10618.25,5.547625780105591
annealingFromFluent,300,0,35,10561.03,5.403947591781616
annealingFromFluent,300,0,36,10950.77,5.440256834030151
annealingFromFluent,300,0,37,10320.76,5.34615159034729
annealingFromFluent,300,0,38,10934.98,5.457578420639038
annealingFromFluent,300,0,39,10490.61,5.462656259536743
annealingFromFluent,300,0,40,10593.67,5.412208557128906
annealingFromFluent,300,0,41,10650.03,5.425063848495483
annealingFromFluent,300,0,42,11120.02,5.458101511001587
annealingFromFluent,300,0,43,10479.21,5.430030822753906
annealingFromFluent,300,0,44,10448.89,5.728529214859009
annealingFromFluent,300,0,45,10762.87,5.489335298538208
annealingFromFluent,300,0,46,10441.27,5.41994833946228
annealingFromFluent,300,0,47,10336.4,5.472506523132324
annealingFromFluent,300,0,48,10347.09,5.39794397354126
annealingFromFluent,300,0,49,10621.3,5.395560026168823
annealingFromFluent,300,0,50,10986.63,5.439873933792114
annealingFromFluent,300,0,51,10760.63,5.435112953186035
annealingFromFluent,300,0,52,10700.96,5.563382387161255
annealingFromFluent,300,0,53,10864.75,5.445631265640259
annealingFromFluent,300,0,54,10597.49,5.430822849273682
annealingFromFluent,300,0,55,10497.51,5.438553094863892
annealingFromFluent,300,0,56,10892.51,5.417659044265747
annealingFromFluent,300,0,57,11003.71,5.401997327804565
annealingFromFluent,300,0,58,10591.74,5.4143288135528564
annealingFromFluent,300,0,59,10523.35,5.35995888710022
annealingFromFluent,300,0,60,10658.03,5.42072057723999
annealingFromFluent,300,0,61,10670.75,5.48496675491333
annealingFromFluent,300,0,62,10332.32,5.375272274017334
annealingFromFluent,300,0,63,11134.16,5.440650224685669
annealingFromFluent,300,0,64,10650.84,5.448998928070068
annealingFromFluent,300,0,65,10825.16,5.41520881652832
annealingFromFluent,300,0,66,10267.94,5.367244720458984
annealingFromFluent,300,0,67,10358.92,5.3398895263671875
annealingFromFluent,300,0,68,11163.09,5.380997896194458
annealingFromFluent,300,0,69,10291.77,5.387682914733887
annealingFromFluent,300,0,70,11000.1,5.334580421447754
annealingFromFluent,300,0,71,10700.08,5.524247884750366
annealingFromFluent,300,0,72,10694.76,5.462018966674805
annealingFromFluent,300,0,73,10701.07,5.444633960723877
annealingFromFluent,300,0,74,10441.8,5.496310710906982
annealingFromFluent,300,0,75,9983.17,5.436493158340454
annealingFromFluent,300,0,76,10434.46,5.477008819580078
annealingFromFluent,300,0,77,10570.47,5.360262632369995
annealingFromFluent,300,0,78,10990.88,5.3656206130981445
annealingFromFluent,300,0,79,10802.67,5.458242893218994
annealingFromFluent,300,0,80,10850.16,5.452425718307495
annealingFromFluent,300,0,81,10396.2,5.44408655166626
annealingFromFluent,300,0,82,10511.45,5.532323360443115
annealingFromFluent,300,0,83,10692.64,5.543372631072998
annealingFromFluent,300,0,84,10196.79,5.404359340667725
annealingFromFluent,300,0,85,10945.98,5.468690395355225
annealingFromFluent,300,0,86,10594.26,5.334048748016357
annealingFromFluent,300,0,87,10896.57,5.399473667144775
annealingFromFluent,300,0,88,10438.92,5.390718221664429
annealingFromFluent,300,0,89,10586.27,5.398009777069092
annealingFromFluent,300,0,90,10494.65,5.377179861068726
annealingFromFluent,300,0,91,10709.87,5.397709846496582
annealingFromFluent,300,0,92,11033.53,5.378391742706299
annealingFromFluent,300,0,93,10713.54,5.478048801422119
annealingFromFluent,300,0,94,10718.57,5.479331731796265
annealingFromFluent,300,0,95,10494.16,5.4306557178497314
annealingFromFluent,300,0,96,10090.86,5.4451820850372314
annealingFromFluent,300,0,97,10819.31,5.498162508010864
annealingFromFluent,300,0,98,10588.38,5.4553916454315186
annealingFromFluent,300,0,99,10657.66,5.35940146446228
annealingFromFluent,300,10,0,10847.12,5.399016857147217
annealingFromFluent,300,10,1,11931.76,5.401592969894409
annealingFromFluent,300,10,2,11725.7,5.432925224304199
annealingFromFluent,300,10,3,11038.34,5.398748874664307
annealingFromFluent,300,10,4,11353.99,5.3220930099487305
annealingFromFluent,300,10,5,11667.96,5.3778674602508545
annealingFromFluent,300,10,6,11660.06,5.364952564239502
annealingFromFluent,300,10,7,11065.13,5.29914927482605
annealingFromFluent,300,10,8,11139.97,5.443724870681763
annealingFromFluent,300,10,9,11449.07,5.44781494140625
annealingFromFluent,300,10,10,11496.97,5.439019680023193
annealingFromFluent,300,10,11,11533.13,5.338906288146973
annealingFromFluent,300,10,12,11100.31,5.3707380294799805
annealingFromFluent,300,10,13,11668.41,5.41119122505188
annealingFromFluent,300,10,14,11832.3,5.463930606842041
annealingFromFluent,300,10,15,11370.85,5.430459260940552
annealingFromFluent,300,10,16,11415.35,5.36937689781189
annealingFromFluent,300,10,17,11443.22,5.517240524291992
