algorithm,n_people,cohesion,iteration,score,time
annealingFromFluent,8,10,0,631.44,0.2307131290435791
annealingFromFluent,8,10,1,348.63,0.19488835334777832
annealingFromFluent,8,10,2,423.31,0.19494366645812988
annealingFromFluent,8,10,3,337.62,0.20702886581420898
annealingFromFluent,8,10,4,429.99,0.20012903213500977
annealingFromFluent,8,10,5,504.38,0.20299649238586426
annealingFromFluent,8,10,6,378.97,0.18530845642089844
annealingFromFluent,8,10,7,455.08,0.22248387336730957
annealingFromFluent,8,10,8,394.17,0.1897730827331543
annealingFromFluent,8,10,9,407.71,0.19410967826843262
annealingFromFluent,8,10,10,432.15,0.2036290168762207
annealingFromFluent,8,10,11,484.33,0.19853973388671875
annealingFromFluent,8,10,12,533.9,0.20806598663330078
annealingFromFluent,8,10,13,406.69,0.21343779563903809
annealingFromFluent,8,10,14,568.63,0.2099311351776123
annealingFromFluent,8,10,15,432.28,0.2147221565246582
annealingFromFluent,8,10,16,292.67,0.19547176361083984
annealingFromFluent,8,10,17,354.57,0.20029282569885254
annealingFromFluent,8,10,18,465.08,0.19933867454528809
annealingFromFluent,8,10,19,373.12,0.20171809196472168
annealingFromFluent,8,10,20,453.04,0.19396710395812988
annealingFromFluent,8,10,21,339.55,0.18482446670532227
annealingFromFluent,8,10,22,434.97,0.20972299575805664
annealingFromFluent,8,10,23,424.6,0.19869041442871094
annealingFromFluent,8,10,24,415.25,0.18961453437805176
annealingFromFluent,8,10,25,425.31,0.20076727867126465
annealingFromFluent,8,10,26,387.67,0.1878819465637207
annealingFromFluent,8,10,27,423.12,0.19833683967590332
annealingFromFluent,8,10,28,455.81,0.19041943550109863
annealingFromFluent,8,10,29,390.07,0.19999313354492188
annealingFromFluent,8,10,30,412.29,0.2010481357574463
annealingFromFluent,8,10,31,561.79,0.20784831047058105
annealingFromFluent,8,10,32,335.6,0.2001051902770996
annealingFromFluent,8,10,33,447.48,0.19268012046813965
annealingFromFluent,8,10,34,458.34,0.20899558067321777
annealingFromFluent,8,10,35,362.58,0.18555235862731934
annealingFromFluent,8,10,36,517.45,0.19376230239868164
annealingFromFluent,8,10,37,497.13,0.20450568199157715
annealingFromFluent,8,10,38,431.09,0.2086637020111084
annealingFromFluent,8,10,39,436.92,0.20318245887756348
annealingFromFluent,8,10,40,449.71,0.20237445831298828
annealingFromFluent,8,10,41,475.19,0.1886599063873291
annealingFromFluent,8,10,42,548.48,0.20595407485961914
annealingFromFluent,8,10,43,504.15,0.19321727752685547
annealingFromFluent,8,10,44,442.31,0.20248699188232422
annealingFromFluent,8,10,45,435.43,0.21205449104309082
annealingFromFluent,8,10,46,576.18,0.19623208045959473
annealingFromFluent,8,10,47,584.27,0.19634151458740234
annealingFromFluent,8,10,48,444.96,0.19823741912841797
annealingFromFluent,8,10,49,439.77,0.19131851196289062
annealingFromFluent,8,10,50,442.83,0.1965475082397461
annealingFromFluent,8,10,51,468.53,0.18802165985107422
annealingFromFluent,8,10,52,469.99,0.19784855842590332
annealingFromFluent,8,10,53,386.99,0.19391512870788574
annealingFromFluent,8,10,54,493.42,0.20301079750061035
annealingFromFluent,8,10,55,519.71,0.19839787483215332
annealingFromFluent,8,10,56,317.25,0.19570612907409668
annealingFromFluent,8,10,57,483.48,0.19956445693969727
annealingFromFluent,8,10,58,526.77,0.20007038116455078
annealingFromFluent,8,10,59,442.7,0.19854307174682617
annealingFromFluent,8,10,60,452.21,0.20876026153564453
annealingFromFluent,8,10,61,473.15,0.20116472244262695
annealingFromFluent,8,10,62,333.33,0.18636274337768555
annealingFromFluent,8,10,63,455.77,0.18770432472229004
annealingFromFluent,8,10,64,450.37,0.18134784698486328
annealingFromFluent,8,10,65,464.77,0.19838380813598633
annealingFromFluent,8,10,66,407.82,0.19630932807922363
annealingFromFluent,8,10,67,385.33,0.18405365943908691
annealingFromFluent,8,10,68,557.31,0.20244550704956055
annealingFromFluent,8,10,69,433.34,0.19687438011169434
annealingFromFluent,8,10,70,319.7,0.22566556930541992
annealingFromFluent,8,10,71,444.55,0.20250964164733887
annealingFromFluent,8,10,72,550.11,0.19096970558166504
annealingFromFluent,8,10,73,405.45,0.18669795989990234
annealingFromFluent,8,10,74,369.17,0.20178771018981934
annealingFromFluent,8,10,75,386.86,0.18850946426391602
annealingFromFluent,8,10,76,367.67,0.20606327056884766
annealingFromFluent,8,10,77,417.95,0.19430017471313477
annealingFromFluent,8,10,78,388.4,0.19736433029174805
annealingFromFluent,8,10,79,457.55,0.2041771411895752
annealingFromFluent,8,10,80,390.56,0.19056415557861328
annealingFromFluent,8,10,81,409.16,0.21250200271606445
annealingFromFluent,8,10,82,593.94,0.20551323890686035
annealingFromFluent,8,10,83,523.7,0.20906424522399902
annealingFromFluent,8,10,84,375.07,0.188798189163208
annealingFromFluent,8,10,85,379.63,0.19925379753112793
annealingFromFluent,8,10,86,522.09,0.19986414909362793
annealingFromFluent,8,10,87,500.85,0.19129037857055664
annealingFromFluent,8,10,88,572.56,0.2109355926513672
annealingFromFluent,8,10,89,413.07,0.19012141227722168
annealingFromFluent,8,10,90,429.6,0.1919267177581787
annealingFromFluent,8,10,91,371.57,0.18984079360961914
annealingFromFluent,8,10,92,461.58,0.19472551345825195
annealingFromFluent,8,10,93,357.43,0.1866602897644043
annealingFromFluent,8,10,94,348.21,0.21741080284118652
annealingFromFluent,8,10,95,397.78,0.20771384239196777
annealingFromFluent,8,10,96,427.71,0.19863295555114746
annealingFromFluent,8,10,97,318.8,0.19044160842895508
annealingFromFluent,8,10,98,492.17,0.19446778297424316
annealingFromFluent,8,10,99,430.36,0.20268726348876953
annealingFromFluent,8,30,0,631.44,0.20252037048339844
annealingFromFluent,8,30,1,348.63,0.19588279724121094
annealingFromFluent,8,30,2,423.31,0.21142840385437012
annealingFromFluent,8,30,3,337.24,0.19635772705078125
annealingFromFluent,8,30,4,429.99,0.2082195281982422
annealingFromFluent,8,30,5,504.38,0.19024658203125
annealingFromFluent,8,30,6,378.97,0.18942713737487793
annealingFromFluent,8,30,7,455.08,0.18636846542358398
annealingFromFluent,8,30,8,394.17,0.19516825675964355
annealingFromFluent,8,30,9,407.71,0.19275498390197754
annealingFromFluent,8,30,10,432.15,0.21547532081604004
annealingFromFluent,8,30,11,484.33,0.19675374031066895
annealingFromFluent,8,30,12,533.9,0.21015214920043945
annealingFromFluent,8,30,13,406.69,0.2127971649169922
annealingFromFluent,8,30,14,568.63,0.2135465145111084
annealingFromFluent,8,30,15,432.28,0.2138047218322754
annealingFromFluent,8,30,16,292.67,0.20698213577270508
annealingFromFluent,8,30,17,354.57,0.19982647895812988
annealingFromFluent,8,30,18,465.08,0.18834733963012695
annealingFromFluent,8,30,19,374.74,0.19176197052001953
annealingFromFluent,8,30,20,453.04,0.19246840476989746
annealingFromFluent,8,30,21,339.55,0.20035958290100098
annealingFromFluent,8,30,22,434.97,0.19468021392822266
annealingFromFluent,8,30,23,424.6,0.2100231647491455
annealingFromFluent,8,30,24,415.25,0.18436312675476074
annealingFromFluent,8,30,25,425.31,0.18743181228637695
annealingFromFluent,8,30,26,387.67,0.189833402633667
annealingFromFluent,8,30,27,423.12,0.19871902465820312
annealingFromFluent,8,30,28,455.81,0.1976015567779541
annealingFromFluent,8,30,29,390.07,0.20486187934875488
annealingFromFluent,8,30,30,412.29,0.2079756259918213
annealingFromFluent,8,30,31,561.79,0.20559096336364746
annealingFromFluent,8,30,32,336.37,0.19707822799682617
annealingFromFluent,8,30,33,447.48,0.20287656784057617
annealingFromFluent,8,30,34,458.34,0.20306825637817383
annealingFromFluent,8,30,35,364.96,0.18370294570922852
annealingFromFluent,8,30,36,516.41,0.1950230598449707
annealingFromFluent,8,30,37,497.13,0.2098093032836914
annealingFromFluent,8,30,38,431.09,0.20966863632202148
annealingFromFluent,8,30,39,436.92,0.19463038444519043
annealingFromFluent,8,30,40,449.71,0.20177936553955078
annealingFromFluent,8,30,41,475.19,0.19992375373840332
annealingFromFluent,8,30,42,548.48,0.21496939659118652
annealingFromFluent,8,30,43,504.15,0.18912720680236816
annealingFromFluent,8,30,44,442.31,0.1744239330291748
annealingFromFluent,8,30,45,435.43,0.19287371635437012
annealingFromFluent,8,30,46,576.18,0.19611692428588867
annealingFromFluent,8,30,47,584.27,0.19782590866088867
annealingFromFluent,8,30,48,444.96,0.19183897972106934
annealingFromFluent,8,30,49,439.77,0.19524598121643066
annealingFromFluent,8,30,50,442.83,0.2047278881072998
annealingFromFluent,8,30,51,462.79,0.20511865615844727
annealingFromFluent,8,30,52,469.99,0.19550228118896484
annealingFromFluent,8,30,53,386.99,0.20015645027160645
annealingFromFluent,8,30,54,493.42,0.1991431713104248
annealingFromFluent,8,30,55,519.71,0.2070755958557129
annealingFromFluent,8,30,56,317.25,0.18480253219604492
annealingFromFluent,8,30,57,483.48,0.1846306324005127
annealingFromFluent,8,30,58,526.77,0.2017672061920166
annealingFromFluent,8,30,59,444.68,0.19869208335876465
annealingFromFluent,8,30,60,452.21,0.20624184608459473
annealingFromFluent,8,30,61,473.15,0.1930537223815918
annealingFromFluent,8,30,62,333.33,0.1914081573486328
annealingFromFluent,8,30,63,455.77,0.19796967506408691
annealingFromFluent,8,30,64,450.37,0.19217801094055176
annealingFromFluent,8,30,65,466.37,0.20773983001708984
annealingFromFluent,8,30,66,407.82,0.2004544734954834
annealingFromFluent,8,30,67,385.33,0.1732923984527588
annealingFromFluent,8,30,68,557.31,0.21108627319335938
annealingFromFluent,8,30,69,434.92,0.20644712448120117
annealingFromFluent,8,30,70,319.7,0.21146869659423828
annealingFromFluent,8,30,71,444.55,0.19917583465576172
annealingFromFluent,8,30,72,550.11,0.19866704940795898
annealingFromFluent,8,30,73,405.45,0.20313024520874023
annealingFromFluent,8,30,74,372.66,0.1945798397064209
annealingFromFluent,8,30,75,388.15,0.20133519172668457
annealingFromFluent,8,30,76,367.18,0.20044589042663574
annealingFromFluent,8,30,77,417.95,0.18750572204589844
annealingFromFluent,8,30,78,388.4,0.19974970817565918
annealingFromFluent,8,30,79,457.55,0.2232346534729004
annealingFromFluent,8,30,80,390.56,0.1956017017364502
annealingFromFluent,8,30,81,409.16,0.20270872116088867
annealingFromFluent,8,30,82,593.94,0.21917724609375
annealingFromFluent,8,30,83,520.63,0.18447637557983398
annealingFromFluent,8,30,84,375.07,0.18585896492004395
annealingFromFluent,8,30,85,379.63,0.19821810722351074
annealingFromFluent,8,30,86,522.09,0.17832469940185547
annealingFromFluent,8,30,87,500.85,0.1774895191192627
annealingFromFluent,8,30,88,572.56,0.20911002159118652
annealingFromFluent,8,30,89,411.74,0.2060682773590088
annealingFromFluent,8,30,90,429.6,0.18886923789978027
annealingFromFluent,8,30,91,371.57,0.18983054161071777
annealingFromFluent,8,30,92,461.58,0.19981026649475098
annealingFromFluent,8,30,93,357.43,0.19750666618347168
annealingFromFluent,8,30,94,348.21,0.20282816886901855
annealingFromFluent,8,30,95,399.12,0.20509076118469238
annealingFromFluent,8,30,96,427.71,0.1937389373779297
annealingFromFluent,8,30,97,318.8,0.18355679512023926
annealingFromFluent,8,30,98,492.17,0.2028963565826416
annealingFromFluent,8,30,99,428.24,0.2051715850830078
annealingFromFluent,8,40,0,631.44,0.20441913604736328
annealingFromFluent,8,40,1,348.37,0.19319581985473633
annealingFromFluent,8,40,2,423.31,0.2162034511566162
annealingFromFluent,8,40,3,338.23,0.21250629425048828
annealingFromFluent,8,40,4,429.99,0.1918940544128418
annealingFromFluent,8,40,5,504.38,0.19827747344970703
annealingFromFluent,8,40,6,378.97,0.19021296501159668
annealingFromFluent,8,40,7,455.08,0.1993851661682129
annealingFromFluent,8,40,8,394.17,0.19574499130249023
annealingFromFluent,8,40,9,407.71,0.19327497482299805
annealingFromFluent,8,40,10,432.15,0.19639253616333008
annealingFromFluent,8,40,11,484.33,0.1996619701385498
annealingFromFluent,8,40,12,533.9,0.20121192932128906
annealingFromFluent,8,40,13,406.69,0.22234725952148438
annealingFromFluent,8,40,14,568.63,0.20901918411254883
annealingFromFluent,8,40,15,432.28,0.2035994529724121
annealingFromFluent,8,40,16,292.67,0.19258618354797363
annealingFromFluent,8,40,17,354.57,0.2113018035888672
annealingFromFluent,8,40,18,465.08,0.17847514152526855
annealingFromFluent,8,40,19,374.74,0.2013401985168457
annealingFromFluent,8,40,20,453.04,0.20028424263000488
annealingFromFluent,8,40,21,339.55,0.20038938522338867
annealingFromFluent,8,40,22,434.97,0.20645594596862793
annealingFromFluent,8,40,23,423.97,0.19600534439086914
annealingFromFluent,8,40,24,415.25,0.19528985023498535
annealingFromFluent,8,40,25,425.31,0.18555021286010742
annealingFromFluent,8,40,26,387.67,0.18146347999572754
annealingFromFluent,8,40,27,423.12,0.19716095924377441
annealingFromFluent,8,40,28,455.81,0.18460297584533691
annealingFromFluent,8,40,29,390.07,0.21503901481628418
annealingFromFluent,8,40,30,412.29,0.1986527442932129
annealingFromFluent,8,40,31,561.79,0.20757603645324707
annealingFromFluent,8,40,32,336.37,0.1997237205505371
annealingFromFluent,8,40,33,447.48,0.1914060115814209
annealingFromFluent,8,40,34,458.1,0.18197274208068848
annealingFromFluent,8,40,35,364.96,0.19541645050048828
annealingFromFluent,8,40,36,517.45,0.20313215255737305
annealingFromFluent,8,40,37,497.13,0.2176070213317871
annealingFromFluent,8,40,38,431.09,0.2055203914642334
annealingFromFluent,8,40,39,436.92,0.19698119163513184
annealingFromFluent,8,40,40,449.71,0.195648193359375
annealingFromFluent,8,40,41,475.19,0.18285870552062988
annealingFromFluent,8,40,42,548.48,0.20470738410949707
annealingFromFluent,8,40,43,504.15,0.18702435493469238
annealingFromFluent,8,40,44,440.81,0.20189929008483887
annealingFromFluent,8,40,45,435.43,0.19716811180114746
annealingFromFluent,8,40,46,574.6,0.1923677921295166
annealingFromFluent,8,40,47,584.27,0.19708633422851562
annealingFromFluent,8,40,48,444.07,0.20997166633605957
annealingFromFluent,8,40,49,439.77,0.19742918014526367
annealingFromFluent,8,40,50,442.83,0.18733620643615723
annealingFromFluent,8,40,51,468.53,0.19881081581115723
annealingFromFluent,8,40,52,469.99,0.2022709846496582
annealingFromFluent,8,40,53,386.99,0.20328402519226074
annealingFromFluent,8,40,54,493.42,0.19441652297973633
annealingFromFluent,8,40,55,519.71,0.20956683158874512
annealingFromFluent,8,40,56,317.25,0.1962873935699463
annealingFromFluent,8,40,57,483.48,0.20102691650390625
annealingFromFluent,8,40,58,524.24,0.19105219841003418
annealingFromFluent,8,40,59,443.63,0.19231033325195312
annealingFromFluent,8,40,60,452.21,0.1979527473449707
annealingFromFluent,8,40,61,473.15,0.19444537162780762
annealingFromFluent,8,40,62,333.33,0.18247365951538086
annealingFromFluent,8,40,63,455.77,0.198838472366333
annealingFromFluent,8,40,64,450.37,0.17531561851501465
annealingFromFluent,8,40,65,466.37,0.20189476013183594
annealingFromFluent,8,40,66,407.82,0.20785069465637207
annealingFromFluent,8,40,67,385.72,0.1902298927307129
annealingFromFluent,8,40,68,557.31,0.20150256156921387
annealingFromFluent,8,40,69,434.92,0.21037721633911133
annealingFromFluent,8,40,70,319.7,0.21624374389648438
annealingFromFluent,8,40,71,444.55,0.19193458557128906
annealingFromFluent,8,40,72,550.11,0.19574618339538574
annealingFromFluent,8,40,73,405.45,0.19306302070617676
annealingFromFluent,8,40,74,372.27,0.1974625587463379
annealingFromFluent,8,40,75,386.86,0.18733620643615723
annealingFromFluent,8,40,76,367.18,0.20169925689697266
annealingFromFluent,8,40,77,417.95,0.20347070693969727
annealingFromFluent,8,40,78,388.4,0.19745111465454102
annealingFromFluent,8,40,79,457.55,0.1887035369873047
annealingFromFluent,8,40,80,390.56,0.1961512565612793
annealingFromFluent,8,40,81,409.16,0.2001936435699463
annealingFromFluent,8,40,82,593.94,0.20373201370239258
annealingFromFluent,8,40,83,523.7,0.20196127891540527
annealingFromFluent,8,40,84,375.07,0.1897275447845459
annealingFromFluent,8,40,85,375.7,0.18895483016967773
annealingFromFluent,8,40,86,522.09,0.19644880294799805
annealingFromFluent,8,40,87,500.85,0.19378066062927246
annealingFromFluent,8,40,88,572.56,0.19621038436889648
annealingFromFluent,8,40,89,413.07,0.20998573303222656
annealingFromFluent,8,40,90,429.6,0.19945526123046875
annealingFromFluent,8,40,91,371.57,0.1868739128112793
annealingFromFluent,8,40,92,461.58,0.2064802646636963
annealingFromFluent,8,40,93,357.43,0.18849539756774902
annealingFromFluent,8,40,94,348.21,0.19101309776306152
annealingFromFluent,8,40,95,399.12,0.20490050315856934
annealingFromFluent,8,40,96,427.71,0.20787477493286133
annealingFromFluent,8,40,97,315.41,0.18529176712036133
annealingFromFluent,8,40,98,492.17,0.1948554515838623
annealingFromFluent,8,40,99,430.36,0.19988346099853516
annealingFromFluent,8,60,0,631.44,0.20838284492492676
annealingFromFluent,8,60,1,348.63,0.20435714721679688
annealingFromFluent,8,60,2,423.31,0.20415902137756348
annealingFromFluent,8,60,3,338.23,0.20058250427246094
annealingFromFluent,8,60,4,429.19,0.19768691062927246
annealingFromFluent,8,60,5,504.38,0.2028493881225586
annealingFromFluent,8,60,6,378.97,0.19069766998291016
annealingFromFluent,8,60,7,455.08,0.20339608192443848
annealingFromFluent,8,60,8,394.17,0.18910765647888184
annealingFromFluent,8,60,9,407.71,0.19313621520996094
annealingFromFluent,8,60,10,432.15,0.19376778602600098
annealingFromFluent,8,60,11,483.67,0.1971604824066162
annealingFromFluent,8,60,12,533.9,0.18868517875671387
annealingFromFluent,8,60,13,406.69,0.22071170806884766
annealingFromFluent,8,60,14,568.63,0.19246125221252441
annealingFromFluent,8,60,15,432.28,0.20071983337402344
annealingFromFluent,8,60,16,292.67,0.1868126392364502
annealingFromFluent,8,60,17,354.57,0.21762847900390625
annealingFromFluent,8,60,18,465.08,0.20102715492248535
annealingFromFluent,8,60,19,374.74,0.19469308853149414
annealingFromFluent,8,60,20,453.04,0.19598937034606934
annealingFromFluent,8,60,21,339.55,0.20405125617980957
annealingFromFluent,8,60,22,434.97,0.20455670356750488
annealingFromFluent,8,60,23,424.42,0.20511388778686523
annealingFromFluent,8,60,24,415.25,0.19812417030334473
annealingFromFluent,8,60,25,425.31,0.1995372772216797
annealingFromFluent,8,60,26,387.67,0.1928236484527588
annealingFromFluent,8,60,27,423.12,0.19443464279174805
annealingFromFluent,8,60,28,455.81,0.19192147254943848
annealingFromFluent,8,60,29,390.07,0.200730562210083
annealingFromFluent,8,60,30,412.29,0.20790362358093262
annealingFromFluent,8,60,31,561.79,0.20859575271606445
annealingFromFluent,8,60,32,336.37,0.19518613815307617
annealingFromFluent,8,60,33,447.48,0.21230006217956543
annealingFromFluent,8,60,34,458.34,0.19440388679504395
annealingFromFluent,8,60,35,364.96,0.19157147407531738
annealingFromFluent,8,60,36,517.45,0.19320321083068848
annealingFromFluent,8,60,37,497.13,0.2079312801361084
annealingFromFluent,8,60,38,431.09,0.20594120025634766
annealingFromFluent,8,60,39,436.92,0.20508718490600586
annealingFromFluent,8,60,40,449.71,0.1945476531982422
annealingFromFluent,8,60,41,475.19,0.1948549747467041
annealingFromFluent,8,60,42,548.48,0.20151090621948242
annealingFromFluent,8,60,43,504.15,0.19319653511047363
annealingFromFluent,8,60,44,442.31,0.19862866401672363
annealingFromFluent,8,60,45,435.43,0.19036078453063965
annealingFromFluent,8,60,46,576.18,0.1998274326324463
annealingFromFluent,8,60,47,584.27,0.20014715194702148
annealingFromFluent,8,60,48,444.07,0.2067890167236328
annealingFromFluent,8,60,49,439.77,0.19892072677612305
annealingFromFluent,8,60,50,442.83,0.2048320770263672
annealingFromFluent,8,60,51,468.53,0.192047119140625
annealingFromFluent,8,60,52,469.99,0.19231104850769043
annealingFromFluent,8,60,53,386.99,0.20739412307739258
annealingFromFluent,8,60,54,493.42,0.1932666301727295
annealingFromFluent,8,60,55,519.71,0.2125093936920166
annealingFromFluent,8,60,56,317.25,0.19353199005126953
annealingFromFluent,8,60,57,483.48,0.18463492393493652
annealingFromFluent,8,60,58,526.0,0.1932671070098877
annealingFromFluent,8,60,59,444.68,0.19562149047851562
annealingFromFluent,8,60,60,452.21,0.19779491424560547
annealingFromFluent,8,60,61,473.15,0.18403911590576172
annealingFromFluent,8,60,62,333.33,0.19190239906311035
