algorithm,n_people,cohesion,iteration,score,time
influenceListGreedy,8,0,0,582.2,0.02812480926513672
influenceListGreedy,8,0,1,286.07,0.019582271575927734
influenceListGreedy,8,0,2,340.79,0.01922297477722168
influenceListGreedy,8,0,3,315.01,0.020583629608154297
influenceListGreedy,8,0,4,386.97,0.01973271369934082
influenceListGreedy,8,0,5,457.8,0.020233631134033203
influenceListGreedy,8,0,6,362.13,0.019690752029418945
influenceListGreedy,8,0,7,367.67,0.018259763717651367
influenceListGreedy,8,0,8,338.31,0.017241954803466797
influenceListGreedy,8,0,9,362.37,0.0170743465423584
influenceListGreedy,8,0,10,387.87,0.017528295516967773
influenceListGreedy,8,0,11,403.49,0.017987728118896484
influenceListGreedy,8,0,12,494.89,0.01758122444152832
influenceListGreedy,8,0,13,338.71,0.019425392150878906
influenceListGreedy,8,0,14,507.02,0.019947528839111328
influenceListGreedy,8,0,15,365.76,0.019800662994384766
influenceListGreedy,8,0,16,240.99,0.020039796829223633
influenceListGreedy,8,0,17,321.96,0.02016139030456543
influenceListGreedy,8,0,18,435.54,0.019773483276367188
influenceListGreedy,8,0,19,317.53,0.01963210105895996
influenceListGreedy,8,0,20,406.74,0.019223690032958984
influenceListGreedy,8,0,21,331.61,0.019345521926879883
influenceListGreedy,8,0,22,394.7,0.02008795738220215
influenceListGreedy,8,0,23,377.14,0.020772457122802734
influenceListGreedy,8,0,24,389.62,0.020549774169921875
influenceListGreedy,8,0,25,389.29,0.019789695739746094
influenceListGreedy,8,0,26,329.6,0.019939422607421875
influenceListGreedy,8,0,27,369.35,0.019197702407836914
influenceListGreedy,8,0,28,397.71,0.01889801025390625
influenceListGreedy,8,0,29,333.69,0.019214153289794922
influenceListGreedy,8,0,30,355.93,0.020110130310058594
influenceListGreedy,8,0,31,514.41,0.019053936004638672
influenceListGreedy,8,0,32,267.84,0.01887798309326172
influenceListGreedy,8,0,33,374.84,0.01891636848449707
influenceListGreedy,8,0,34,405.1,0.01909494400024414
influenceListGreedy,8,0,35,355.9,0.018829345703125
influenceListGreedy,8,0,36,456.7,0.018937110900878906
influenceListGreedy,8,0,37,469.49,0.019306421279907227
influenceListGreedy,8,0,38,391.15,0.018979787826538086
influenceListGreedy,8,0,39,407.23,0.018889427185058594
influenceListGreedy,8,0,40,399.7,0.01885390281677246
