algorithm,n_people,cohesion,iteration,score,time
linearSwitchFromGrouped,8,10,0,631.44,0.11658811569213867
linearSwitchFromGrouped,8,10,1,348.37,0.08001303672790527
linearSwitchFromGrouped,8,10,2,423.31,0.10602211952209473
linearSwitchFromGrouped,8,10,3,337.62,0.07924866676330566
linearSwitchFromGrouped,8,10,4,429.19,0.08060240745544434
linearSwitchFromGrouped,8,10,5,504.38,0.12245631217956543
linearSwitchFromGrouped,8,10,6,378.97,0.07942581176757812
linearSwitchFromGrouped,8,10,7,452.07,0.08602142333984375
linearSwitchFromGrouped,8,10,8,384.76,0.08866167068481445
linearSwitchFromGrouped,8,10,9,407.71,0.09224438667297363
linearSwitchFromGrouped,8,10,10,429.29,0.07057976722717285
linearSwitchFromGrouped,8,10,11,478.02,0.08531308174133301
linearSwitchFromGrouped,8,10,12,533.11,0.09200596809387207
linearSwitchFromGrouped,8,10,13,406.69,0.10162854194641113
linearSwitchFromGrouped,8,10,14,568.63,0.09054374694824219
linearSwitchFromGrouped,8,10,15,424.18,0.0903172492980957
linearSwitchFromGrouped,8,10,16,277.01,0.06845927238464355
linearSwitchFromGrouped,8,10,17,354.57,0.08245110511779785
linearSwitchFromGrouped,8,10,18,465.08,0.09486913681030273
linearSwitchFromGrouped,8,10,19,363.75,0.06485199928283691
linearSwitchFromGrouped,8,10,20,453.04,0.07477450370788574
linearSwitchFromGrouped,8,10,21,339.55,0.08643507957458496
linearSwitchFromGrouped,8,10,22,433.92,0.10282778739929199
linearSwitchFromGrouped,8,10,23,423.97,0.08260488510131836
linearSwitchFromGrouped,8,10,24,415.25,0.11389732360839844
linearSwitchFromGrouped,8,10,25,422.22,0.08536052703857422
linearSwitchFromGrouped,8,10,26,387.67,0.08212137222290039
linearSwitchFromGrouped,8,10,27,415.88,0.08300924301147461
linearSwitchFromGrouped,8,10,28,455.81,0.08410143852233887
linearSwitchFromGrouped,8,10,29,390.07,0.07846760749816895
linearSwitchFromGrouped,8,10,30,410.17,0.07139849662780762
linearSwitchFromGrouped,8,10,31,561.79,0.11044120788574219
linearSwitchFromGrouped,8,10,32,333.69,0.07179498672485352
linearSwitchFromGrouped,8,10,33,447.48,0.07820439338684082
linearSwitchFromGrouped,8,10,34,458.34,0.07489514350891113
linearSwitchFromGrouped,8,10,35,364.96,0.09345006942749023
linearSwitchFromGrouped,8,10,36,517.45,0.06410503387451172
linearSwitchFromGrouped,8,10,37,497.13,0.0980825424194336
