algorithm,timelimit,n_people,cohesion,iteration,score,time
annealingFromFluent,0.1,300,0,0,10305.55,1.3452260494232178
annealingFromFluent,0.1,300,0,1,10925.82,1.4302122592926025
annealingFromFluent,0.1,300,0,2,10695.68,1.4076790809631348
annealingFromFluent,0.1,300,0,3,10121.98,1.3785676956176758
annealingFromFluent,0.1,300,0,4,10622.82,1.3591032028198242
annealingFromFluent,0.1,300,0,5,10880.18,1.4166278839111328
annealingFromFluent,0.1,300,0,6,10346.2,1.4176809787750244
annealingFromFluent,0.1,300,0,7,10528.19,1.3692348003387451
annealingFromFluent,0.1,300,0,8,10561.86,1.422072172164917
annealingFromFluent,0.1,300,0,9,10909.16,1.3181359767913818
annealingFromFluent,0.1,300,0,10,10779.28,1.383760929107666
annealingFromFluent,0.1,300,0,11,10594.3,1.3502757549285889
annealingFromFluent,0.1,300,0,12,10883.85,1.3793914318084717
annealingFromFluent,0.1,300,0,13,10882.67,1.421745777130127
annealingFromFluent,0.1,300,0,14,10932.42,1.407559871673584
annealingFromFluent,0.1,300,0,15,10584.32,1.4577808380126953
annealingFromFluent,0.1,300,0,16,10416.08,1.454458475112915
annealingFromFluent,0.1,300,0,17,10666.56,1.4183306694030762
annealingFromFluent,0.1,300,0,18,10505.16,1.4577789306640625
annealingFromFluent,0.1,300,0,19,11028.89,1.3690180778503418
annealingFromFluent,0.1,300,0,20,10402.86,1.4586060047149658
annealingFromFluent,0.1,300,0,21,11142.21,1.333007574081421
annealingFromFluent,0.1,300,0,22,10822.67,1.3826420307159424
annealingFromFluent,0.1,300,0,23,10547.14,1.4373712539672852
annealingFromFluent,0.1,300,0,24,10636.26,1.3782927989959717
annealingFromFluent,0.1,300,0,25,10965.67,1.415661334991455
annealingFromFluent,0.1,300,0,26,10640.87,1.323427677154541
annealingFromFluent,0.1,300,0,27,10543.34,1.3817734718322754
annealingFromFluent,0.1,300,0,28,10418.63,1.3461639881134033
annealingFromFluent,0.1,300,0,29,10328.06,1.4360394477844238
annealingFromFluent,0.1,300,0,30,10399.46,1.4067258834838867
annealingFromFluent,0.1,300,0,31,11090.54,1.4229061603546143
annealingFromFluent,0.1,300,0,32,10514.31,1.4140689373016357
annealingFromFluent,0.1,300,0,33,11129.81,1.377375602722168
annealingFromFluent,0.1,300,0,34,10618.25,1.3784058094024658
annealingFromFluent,0.1,300,0,35,10561.03,1.3949313163757324
annealingFromFluent,0.1,300,0,36,10950.77,1.3573260307312012
annealingFromFluent,0.1,300,0,37,10320.76,1.3538458347320557
annealingFromFluent,0.1,300,0,38,10934.98,1.4051456451416016
annealingFromFluent,0.1,300,0,39,10490.61,1.4059743881225586
annealingFromFluent,0.1,300,0,40,10593.67,1.3672471046447754
annealingFromFluent,0.1,300,0,41,10650.03,1.3583834171295166
annealingFromFluent,0.1,300,0,42,11120.02,1.3868303298950195
annealingFromFluent,0.1,300,0,43,10479.21,1.384537696838379
annealingFromFluent,0.1,300,0,44,10448.89,1.4181625843048096
annealingFromFluent,0.1,300,0,45,10762.87,1.4208934307098389
annealingFromFluent,0.1,300,0,46,10441.27,1.3979859352111816
annealingFromFluent,0.1,300,0,47,10336.4,1.4156289100646973
annealingFromFluent,0.1,300,0,48,10347.09,1.3557476997375488
annealingFromFluent,0.1,300,0,49,10621.3,1.351060152053833
annealingFromFluent,0.1,300,0,50,10986.63,1.4284849166870117
annealingFromFluent,0.1,300,0,51,10760.63,1.4253630638122559
annealingFromFluent,0.1,300,0,52,10700.96,1.3959062099456787
annealingFromFluent,0.1,300,0,53,10864.75,1.4128761291503906
annealingFromFluent,0.1,300,0,54,10603.09,1.3631947040557861
annealingFromFluent,0.1,300,0,55,10497.51,1.4281690120697021
annealingFromFluent,0.1,300,0,56,10892.51,1.384655237197876
annealingFromFluent,0.1,300,0,57,11003.71,1.3961033821105957
annealingFromFluent,0.1,300,0,58,10591.74,1.3749573230743408
annealingFromFluent,0.1,300,0,59,10523.35,1.380242109298706
annealingFromFluent,0.1,300,0,60,10658.03,1.3983831405639648
annealingFromFluent,0.1,300,0,61,10670.75,1.4266586303710938
annealingFromFluent,0.1,300,0,62,10339.13,1.338599443435669
annealingFromFluent,0.1,300,0,63,11134.16,1.377121925354004
annealingFromFluent,0.1,300,0,64,10650.84,1.390568494796753
annealingFromFluent,0.1,300,0,65,10825.16,1.3735675811767578
annealingFromFluent,0.1,300,0,66,10267.94,1.307945966720581
annealingFromFluent,0.1,300,0,67,10358.92,1.3413856029510498
annealingFromFluent,0.1,300,0,68,11163.09,1.3549220561981201
annealingFromFluent,0.1,300,0,69,10291.77,1.379451036453247
annealingFromFluent,0.1,300,0,70,11000.1,1.3755402565002441
annealingFromFluent,0.1,300,0,71,10700.08,1.4608402252197266
annealingFromFluent,0.1,300,0,72,10694.76,1.4067840576171875
annealingFromFluent,0.1,300,0,73,10701.07,1.4225850105285645
annealingFromFluent,0.1,300,0,74,10438.25,1.4012680053710938
annealingFromFluent,0.1,300,0,75,9983.17,1.436462640762329
annealingFromFluent,0.1,300,0,76,10434.46,1.4135792255401611
annealingFromFluent,0.1,300,0,77,10570.47,1.361717939376831
annealingFromFluent,0.1,300,0,78,10990.88,1.3412423133850098
annealingFromFluent,0.1,300,0,79,10802.67,1.3815863132476807
annealingFromFluent,0.1,300,0,80,10850.16,1.4049735069274902
annealingFromFluent,0.1,300,0,81,10396.2,1.4328248500823975
annealingFromFluent,0.1,300,0,82,10511.45,1.471487283706665
annealingFromFluent,0.1,300,0,83,10692.64,1.4274766445159912
annealingFromFluent,0.1,300,0,84,10196.79,1.3616690635681152
annealingFromFluent,0.1,300,0,85,10945.98,1.3903942108154297
annealingFromFluent,0.1,300,0,86,10594.26,1.3510282039642334
annealingFromFluent,0.1,300,0,87,10896.57,1.3724851608276367
annealingFromFluent,0.1,300,0,88,10438.92,1.3497512340545654
annealingFromFluent,0.1,300,0,89,10586.27,1.3950555324554443
annealingFromFluent,0.1,300,0,90,10494.65,1.377856731414795
annealingFromFluent,0.1,300,0,91,10709.87,1.3808441162109375
annealingFromFluent,0.1,300,0,92,11033.53,1.3192873001098633
annealingFromFluent,0.1,300,0,93,10713.54,1.4117655754089355
annealingFromFluent,0.1,300,0,94,10718.57,1.42136812210083
annealingFromFluent,0.1,300,0,95,10494.16,1.3898375034332275
annealingFromFluent,0.1,300,0,96,10090.86,1.4100110530853271
annealingFromFluent,0.1,300,0,97,10819.31,1.4510111808776855
annealingFromFluent,0.1,300,0,98,10588.38,1.3698444366455078
annealingFromFluent,0.1,300,0,99,10657.66,1.320446252822876
annealingFromFluent,0.1,300,10,0,10847.12,1.3339738845825195
