Task 7 running algorithm: linearSwitchFromRandom
cn16.hpc.itu.dk
nsio
/home/nsio/bachelorProject/hpc-jobs
Running iterations for algorithm: linearSwitchFromRandom
  Completed 100 iterations for size 8, cohesion 0.
  Completed 100 iterations for size 8, cohesion 10.
  Completed 100 iterations for size 8, cohesion 20.
  Completed 100 iterations for size 8, cohesion 30.
  Completed 100 iterations for size 8, cohesion 40.
  Completed 100 iterations for size 8, cohesion 50.
  Completed 100 iterations for size 8, cohesion 60.
  Completed 100 iterations for size 8, cohesion 70.
  Completed 100 iterations for size 8, cohesion 80.
  Completed 100 iterations for size 8, cohesion 90.
  Completed 100 iterations for size 8, cohesion 100.
  Completed 100 iterations for size 30, cohesion 0.
  Completed 100 iterations for size 30, cohesion 10.
  Completed 100 iterations for size 30, cohesion 20.
  Completed 100 iterations for size 30, cohesion 30.
  Completed 100 iterations for size 30, cohesion 40.
  Completed 100 iterations for size 30, cohesion 50.
  Completed 100 iterations for size 30, cohesion 60.
  Completed 100 iterations for size 30, cohesion 70.
  Completed 100 iterations for size 30, cohesion 80.
  Completed 100 iterations for size 30, cohesion 90.
  Completed 100 iterations for size 30, cohesion 100.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 1 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 2 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 7 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 8 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 9 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 10 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 11 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 14 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 15 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 16 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 17 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 19 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 20 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 21 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 22 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 23 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 25 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 26 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 28 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 29 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 30 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 31 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 32 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 36 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 38 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 39 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 40 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 41 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 0, iter 42 took longer than 30 seconds.
