Task 2 running algorithm: bruteForce
cn8.hpc.itu.dk
nsio
/home/nsio/bachelorProject/hpc-jobs
Running iterations for algorithm: bruteForce
  Completed 100 iterations for size 8, cohesion 10.
  Completed 100 iterations for size 8, cohesion 30.
  Completed 100 iterations for size 8, cohesion 40.
  Completed 100 iterations for size 8, cohesion 60.
  Completed 100 iterations for size 8, cohesion 70.
  Completed 100 iterations for size 8, cohesion 90.
  Completed 100 iterations for size 30, cohesion 10.
  Completed 100 iterations for size 30, cohesion 30.
  Completed 100 iterations for size 30, cohesion 40.
  Completed 100 iterations for size 30, cohesion 60.
  Completed 100 iterations for size 30, cohesion 70.
  Completed 100 iterations for size 30, cohesion 90.
  Completed 100 iterations for size 100, cohesion 10.
  Completed 100 iterations for size 100, cohesion 30.
  Completed 100 iterations for size 100, cohesion 40.
  Completed 100 iterations for size 100, cohesion 60.
  Completed 100 iterations for size 100, cohesion 70.
  Completed 100 iterations for size 100, cohesion 90.
  Completed 100 iterations for size 300, cohesion 10.
  Completed 100 iterations for size 300, cohesion 30.
  Completed 100 iterations for size 300, cohesion 40.
  Completed 100 iterations for size 300, cohesion 60.
  Completed 100 iterations for size 300, cohesion 70.
